name	old_url	reason	final_url
Ay-Ay-Ay!	https://camellia.iflora.cn/Cutivars/Detail?latin=Ay-Ay-Ay%21	redirect_404	https://camellia.iflora.cn/Error/Error404
Ayer Maid	https://camellia.iflora.cn/Cutivars/Detail?latin=Ayer%20Maid	redirect_404	https://camellia.iflora.cn/Error/Error404
Azuma Wabisuke	https://camellia.iflora.cn/Cutivars/Detail?latin=Azuma%20Wabisuke	redirect_404	https://camellia.iflora.cn/Error/Error404
Baby Face (Reticulata)	https://camellia.iflora.cn/Cutivars/Detail?latin=Baby%20Face%20%28Reticulata%29	redirect_404	https://camellia.iflora.cn/Error/Error404
Baby Sis Blush	https://camellia.iflora.cn/Cutivars/Detail?latin=Baby%20Sis%20Blush	redirect_404	https://camellia.iflora.cn/Error/Error404
Baby Sis Blush Variegated	https://camellia.iflora.cn/Cutivars/Detail?latin=Baby%20Sis%20Blush%20Variegated	redirect_404	https://camellia.iflora.cn/Error/Error404
Bali Ha'i	https://camellia.iflora.cn/Cutivars/Detail?latin=Bali%20Ha%27i	redirect_404	https://camellia.iflora.cn/Error/Error404
Bali Ha'i Dawn	https://camellia.iflora.cn/Cutivars/Detail?latin=Bali%20Ha%27i%20Dawn	redirect_404	https://camellia.iflora.cn/Error/Error404
Bali Ha'i Pink	https://camellia.iflora.cn/Cutivars/Detail?latin=Bali%20Ha%27i%20Pink	redirect_404	https://camellia.iflora.cn/Error/Error404
Bansho	https://camellia.iflora.cn/Cutivars/Detail?latin=Bansho	redirect_404	https://camellia.iflora.cn/Error/Error404
Banyo	https://camellia.iflora.cn/Cutivars/Detail?latin=Banyo	redirect_404	https://camellia.iflora.cn/Error/Error404
Beni-Arejishi	https://camellia.iflora.cn/Cutivars/Detail?latin=Beni-Arejishi	redirect_404	https://camellia.iflora.cn/Error/Error404
Beni-Botan	https://camellia.iflora.cn/Cutivars/Detail?latin=Beni-Botan	redirect_404	https://camellia.iflora.cn/Error/Error404
Beni-Daikagura	https://camellia.iflora.cn/Cutivars/Detail?latin=Beni-Daikagura	redirect_404	https://camellia.iflora.cn/Error/Error404
Beni-Kagami	https://camellia.iflora.cn/Cutivars/Detail?latin=Beni-Kagami	redirect_404	https://camellia.iflora.cn/Error/Error404
Beni-Kan-Tsubaki	https://camellia.iflora.cn/Cutivars/Detail?latin=Beni-Kan-Tsubaki	redirect_404	https://camellia.iflora.cn/Error/Error404
Beni-Maru	https://camellia.iflora.cn/Cutivars/Detail?latin=Beni-Maru	redirect_404	https://camellia.iflora.cn/Error/Error404
Beni-Maze	https://camellia.iflora.cn/Cutivars/Detail?latin=Beni-Maze	redirect_404	https://camellia.iflora.cn/Error/Error404
Beni-Zuru (Pink Crane)	https://camellia.iflora.cn/Cutivars/Detail?latin=Beni-Zuru%20%28Pink%20Crane%29	redirect_404	https://camellia.iflora.cn/Error/Error404
Benitancho (Red Head Crane)	https://camellia.iflora.cn/Cutivars/Detail?latin=Benitancho%20%28Red%20Head%20Crane%29	redirect_404	https://camellia.iflora.cn/Error/Error404
Benten-Mrs. R. L. Wheeler	https://camellia.iflora.cn/Cutivars/Detail?latin=Benten-Mrs.%20R.%20L.%20Wheeler	redirect_404	https://camellia.iflora.cn/Error/Error404
Best Wishes	https://camellia.iflora.cn/Cutivars/Detail?latin=Best%20Wishes	redirect_404	https://camellia.iflora.cn/Error/Error404
Betsy Blush	https://camellia.iflora.cn/Cutivars/Detail?latin=Betsy%20Blush	redirect_404	https://camellia.iflora.cn/Error/Error404
Bette Durrant	https://camellia.iflora.cn/Cutivars/Detail?latin=Bette%20Durrant	redirect_404	https://camellia.iflora.cn/Error/Error404
Betts Supreme	https://camellia.iflora.cn/Cutivars/Detail?latin=Betts%20Supreme	redirect_404	https://camellia.iflora.cn/Error/Error404
Betty Boswell	https://camellia.iflora.cn/Cutivars/Detail?latin=Betty%20Boswell	redirect_404	https://camellia.iflora.cn/Error/Error404
